myday;pm25;pm10;tmp;rh;rain;radsolar;co2;pressure;ws;no2;co;so2;o3
2021-03-15;22,77613225;37,3008504;13,55125;76,28702381;0,865984848;107,525;561,7916667;563,4861111;0,879322638;27,64906187;1,165480044;2,814107245;16,71666174
2021-03-16;19,05501466;30,35401742;14,11041667;71,79434524;0,119318182;144,7833333;553,7083333;563,4166667;0,865497835;28,71482751;1,169114139;2,701037579;17,5332667
2021-03-17;27,12262336;47,34985507;13,47208333;76,28017857;0,121625344;108,7416667;596,625;563,2222222;0,873633393;30,51089431;1,355078676;3,540765432;11,44368151
2021-03-18;19,569218;33,26324371;13,60708333;75,57442288;0,261309524;113,9286232;558,625;563,3611111;0,964119909;24,40941718;1,212957147;2,978433043;8,174498461
2021-03-19;25,84826389;44,48117746;13,86583333;71,88440476;0,390599174;170,425;566,5833333;563,2777778;0,923106061;30,90191318;1,319949661;3,297143746;16,03421862
2021-03-20;25,34413245;44,53637983;14,36869565;69,76572981;0,00530303;194,5;569,9583333;563,1944444;1,224571805;25,82200464;1,161293978;4,884655465;16,9732724
2021-03-21;20,79935771;34,53645833;13,89875;64,62083333;0,001515152;191,975;606,4166667;563,1388889;1,784409888;16,51723925;0,813605348;3,058793554;27,40393839
2021-03-22;22,21572323;32,81031922;14,08583333;63,51815476;0;179,9916667;577,0416667;563,4305556;1,648484848;17,6963993;0,699110779;2,515978703;33,85460765
2021-03-23;33,78658576;55,84067551;13,77208333;74,3075;0,497348485;124,4;627,2083333;563,5833333;0,960539216;34,48007997;1,321740995;3,740323197;16,31053398
2021-03-24;30,40594807;45,95701371;13,50208333;76,06345238;0,324621212;91,10833333;578,6666667;563,7777778;0,926515152;36,60487282;1,511493905;2,942088015;15,71383753
2021-03-25;26,66195221;49,21928485;13,68287785;69,28150843;0,0036853;128,1588716;616,3333333;563,9227053;1,098379447;33,03631455;1,492491396;3,387088609;15,40971243
2021-03-26;18,58368056;36,60968434;14,4275;67,21809524;0,069318182;130,925;572,7083333;563,375;1,252272727;25,97923507;1,073330018;4,123880007;20,77058355
2021-03-27;16,359375;29,19636473;14,36333333;70,56244048;0,013636364;93,725;543,9583333;563;1,235984848;27,50818869;1,004863321;4,367159994;20,50491296
2021-03-28;9,421467391;17,53898646;15,20666667;61,36910714;0;223,6666667;527,875;562,8055556;1,896590909;12,62461285;0,616709384;2,558063391;29,02142913
2021-03-29;12,17741299;24,04767394;14,74291667;64,51653209;0,026515152;125,1449275;533,25;562,9788647;1,618741765;15,06920542;0,760129294;2,35668744;15,8766576
2021-03-30;11,64153217;22,27126488;14,87208333;64,40369048;0,032575758;130,3;512,2916667;563,1666667;1,742045455;14,89748924;0,759450473;3,006184441;15,35023646
2021-03-31;10,58336627;21,64315064;15,58208333;62,06434524;0,000757576;171,7416667;510,25;562,8194444;1,704924242;14,68172629;0,825371588;2,924733908;18,45979964
2021-04-01;8,955746322;17,15249535;16,08208333;60,50857143;0;177,1083333;507,7916667;562,1111111;1,781818182;10,18629767;0,629720131;2,816844649;25,44960195
